design_name,variant,macros,clock_ns,utilization,macro_place,power_mesh,filler,mean_ir_drop,max_ir_drop,std_ir_drop,p90_ir_drop,p99_ir_drop,hotspot_pct
RISCY,a,3,2,0.7,1,4,0,0.1864149793625336,9.53311,0.552105948813909,0.5471405,2.6077334999999984,0.043127019637086754
RISCY,b,1,20,0.8,3,3,1,0.01533375963783102,0.59092,0.04564011157002182,0.044167,0.239313,0.049379438507997614
RISCY,b,2,2,0.7,3,6,1,0.21052442231664506,13.5936,0.8618649401728251,0.5174460000000002,4.311662699999994,0.021746866976791478
RISCY,a,3,2,0.85,1,4,1,0.3701374863613673,23.6899,1.4158694310452915,0.9221311000000011,6.895328600000079,0.01929092805005214
RISCY,b,3,5,0.7,1,4,1,0.03171490261729083,1.31994,0.09802659119978416,0.0894666,0.49305,0.04414988814317673
RISCY,a,3,20,0.75,1,4,1,0.03134910026091339,2.47341,0.07458781831197378,0.11227729999999983,0.3464308299999991,0.05823206018518518
RISCY,b,3,5,0.8,3,2,1,0.04240827539487128,1.78796,0.14911706446200404,0.100553,0.8746281900000001,0.03691317516405856
RISCY,a,3,2,0.8,2,6,0,0.18542007494283172,8.98033,0.6156995537758453,0.4755379000000007,3.4909339000000292,0.03136756481952212
RISCY,a,2,5,0.7,1,3,1,0.08156481416752098,5.22035,0.2075634381083766,0.26536,1.0025860000000004,0.05060315258025976
RISCY,a,1,5,0.85,2,1,0,0.07629302230816934,7.01791,0.20780758240529706,0.223875,1.111671999999999,0.0419281636705315
RISCY,a,2,20,0.7,1,2,1,0.036457151263966286,0.869095,0.0872395965693215,0.111818,0.4587414000000014,0.04730155059672923
RISCY,b,1,2,0.9,2,4,1,0.26290403948316643,32.3842,1.013063044976945,0.9808842000000004,3.2469,0.02584277906166318
RISCY,a,1,20,0.9,1,7,1,0.021745581588293032,1.176,0.05063539624115782,0.064373,0.245392,0.05409389461113599
RISCY,a,2,2,0.75,4,8,0,0.2307699210994812,7.10893,0.5239066428161079,0.94074,2.34957800000001,0.05831892267262156
RISCY,b,1,5,0.9,2,6,1,0.061025251285385704,3.7356,0.21201492844777706,0.144541,1.0037938999999967,0.04522146254458977
RISCY,b,3,5,0.9,3,6,1,0.07763178813011741,3.56895,0.2738210050195914,0.14846910000000008,1.416657499999992,0.04663343752640027
RISCY,b,2,20,0.75,1,3,1,0.017327540097672917,0.958264,0.06900261614860141,0.0337362,0.390273099999999,0.0315530058177117
RISCY,b,1,5,0.8,1,5,1,0.0332030518210125,2.1072,0.12627955437343522,0.08365510000000001,0.6314250500000006,0.027747917226552003
RISCY,a,3,20,0.7,1,2,0,0.027672864591993602,1.03956,0.07628003681200185,0.0863671,0.38921623000000005,0.04799333363362011
RISCY,b,2,5,0.9,3,3,0,0.28790569560943263,46.5114,2.943618301985209,0.064075,1.3119293999999448,0.008661008141347654
RISCY,a,3,2,0.7,3,3,1,0.29047720457617787,11.9626,0.776170652215082,0.8833705000000001,3.905434999999991,0.051872189456082074
RISCY,b,3,2,0.85,1,6,1,0.21308622816591408,14.2456,0.7178038360114831,0.589132,3.5662539999999825,0.044795204795204796
RISCY,a,1,2,0.75,2,5,1,0.37644666647408465,58.3158,2.3340617234242753,0.6750761000000001,4.015272899999996,0.005485992537785367
RISCY,b,3,2,0.8,1,5,0,0.11058849761058344,8.10152,0.4560692213656148,0.19773229999999964,2.5266364,0.031740263645932534
RISCY,a,2,20,0.7,2,4,1,0.030174072030642596,0.710487,0.06730389327720844,0.11188400000000036,0.30312638999999975,0.06041986687147977
RISCY,b,1,2,0.7,3,5,1,0.23249791159621278,8.82924,0.7328104266198202,0.5944429999999999,3.7597352000000024,0.03950781019746537
RISCY,a,1,5,0.75,2,1,1,0.14326879328946207,11.5117,0.6998548962055425,0.265658,1.46806,0.009031602672973444
RISCY,b,1,5,0.9,2,4,1,0.0805782404212173,7.07823,0.3092939524999455,0.25283130000000104,1.2158661999999998,0.027255499405469678
RISCY,b,3,5,0.7,3,1,0,0.037077556883326646,5.70458,0.16188456608085977,0.0613928,0.8049741099999932,0.02899665551839465
RISCY,a,1,5,0.75,1,6,1,0.1273068900997857,2.07454,0.23488295756269076,0.473022,1.00011,0.05682449484928811
RISCY,a,1,2,0.8,3,5,1,0.273964685998018,8.12507,0.6795295140891396,0.7777810000000001,3.4483365000000026,0.04084923407686106
RISCY,a,3,2,0.7,2,8,1,0.3467897033779357,7.17294,0.7454325881707262,1.35219,3.4457025000000012,0.05390522949416693
RISCY,a,3,2,0.8,4,6,0,0.20951585656806526,14.2618,0.6717881511605911,0.650525,2.962793999999998,0.030838008637175316
RISCY,b,2,2,0.9,1,5,0,0.12153518529263937,9.70614,0.5153609978495522,0.2057668999999998,2.807083600000001,0.02687550200803213
RISCY,a,3,5,0.9,2,1,1,0.09256075583579627,3.29268,0.27413082849082776,0.252366,1.5434234999999976,0.03616654417999887
RISCY,b,3,2,0.75,1,7,0,0.0600496022924545,4.46856,0.22418156731699274,0.1302479000000007,1.1794287999999988,0.034614463601532565
RISCY,b,1,2,0.8,2,5,0,0.10289571113481048,10.5059,0.4348734066337252,0.2537129999999999,1.7033368000000002,0.02090795501874219
RISCY,b,1,5,0.9,2,7,1,0.03231177263213808,3.66378,0.15496471705575413,0.0785589,0.5079467199999983,0.020362663495838287
RISCY,b,2,2,0.85,2,2,0,0.32131896682520755,18.2418,1.2560666622958416,0.670373,6.877226000000006,0.033905029296875
RISCY,b,3,2,0.9,2,8,1,0.12541651624552796,14.6603,0.5085762415109539,0.314891,1.9898879999999992,0.030451674213203644
RISCY,a,2,5,0.7,3,1,1,0.13048653690416104,5.135,0.3594196573106503,0.372052,1.715244000000005,0.0512840276974859
RISCY,b,1,2,0.9,2,1,0,0.11558323115296577,11.3592,0.4527620037387807,0.3015940000000001,2.1151648,0.028007043028502255
RISCY,a,2,5,0.75,2,5,1,0.08036183121544097,4.66865,0.24710657593996915,0.198603,1.0861740000000017,0.0360289211748206
RISCY,b,1,2,0.85,3,7,1,0.15779314919292572,8.60143,0.564252311713434,0.372827,2.8861918000000193,0.034545198832671146
